Date,CH Inflation
1980-12-31,20.418
1981-12-31,20.929
1982-12-31,21.347
1983-12-31,21.774
1984-12-31,22.362
1985-12-31,24.442
1986-12-31,26.031
1987-12-31,27.931
1988-12-31,33.182
1989-12-31,39.155
1990-12-31,40.369
1991-12-31,41.741
1992-12-31,44.413
1993-12-31,50.941
1994-12-31,63.218
1995-12-31,74.028
1996-12-31,80.173
1997-12-31,82.418
1998-12-31,81.758
1999-12-31,80.614
2000-12-31,80.936
2001-12-31,81.503
2002-12-31,80.851
2003-12-31,81.821
2004-12-31,85.012
2005-12-31,86.542
2006-12-31,87.84
2007-12-31,92.057
2008-12-31,97.488
2009-12-31,96.805
2010-12-31,100.0
2011-12-31,105.4
2012-12-31,108.189
2013-12-31,111.028
2014-12-31,113.236
2015-12-31,114.867
2016-12-31,117.251
2017-12-31,119.948
2018-12-31,122.826
2019-12-31,126.02
2020-12-31,129.8
2021-12-31,133.694
