Date,HK GDP
1980-12-31,28.862
1981-12-31,31.055
1982-12-31,32.291
1983-12-31,29.907
1984-12-31,33.511
1985-12-31,35.7
1986-12-31,41.076
1987-12-31,50.623
1988-12-31,59.708
1989-12-31,68.79
1990-12-31,76.929
1991-12-31,88.96
1992-12-31,104.272
1993-12-31,120.354
1994-12-31,135.807
1995-12-31,144.653
1996-12-31,159.718
1997-12-31,177.353
1998-12-31,168.88
1999-12-31,165.769
2000-12-31,171.669
2001-12-31,169.404
2002-12-31,166.326
2003-12-31,161.355
2004-12-31,169.096
2005-12-31,181.57
2006-12-31,193.534
2007-12-31,211.599
2008-12-31,219.28
2009-12-31,214.046
2010-12-31,228.637
2011-12-31,248.514
2012-12-31,262.629
2013-12-31,275.659
2014-12-31,291.229
2015-12-31,309.236
2016-12-31,316.07
2017-12-31,326.399
2018-12-31,343.152
2019-12-31,360.971
2020-12-31,379.743
2021-12-31,397.465
