Date,HK Inflation
1980-12-31,26.596
1981-12-31,29.117
1982-12-31,32.325
1983-12-31,35.55
1984-12-31,38.592
1985-12-31,39.967
1986-12-31,41.367
1987-12-31,43.733
1988-12-31,47.167
1989-12-31,51.975
1990-12-31,57.317
1991-12-31,63.758
1992-12-31,69.85
1993-12-31,76.025
1994-12-31,82.717
1995-12-31,90.192
1996-12-31,95.883
1997-12-31,101.475
1998-12-31,104.342
1999-12-31,100.217
2000-12-31,96.483
2001-12-31,94.925
2002-12-31,92.025
2003-12-31,89.658
2004-12-31,89.325
2005-12-31,90.133
2006-12-31,91.958
2007-12-31,93.817
2008-12-31,97.825
2009-12-31,98.4
2010-12-31,100.675
2011-12-31,105.992
2012-12-31,110.308
2013-12-31,115.083
2014-12-31,120.175
2015-12-31,123.825
2016-12-31,126.921
2017-12-31,130.221
2018-12-31,133.737
2019-12-31,137.481
2020-12-31,141.468
2021-12-31,145.712
